10
1, N188GCK, 1111222233334444, 04, 50, 06, 50, 02, 12, 2015
2, AB12CDE, 8765432187654321, 12, 45, 16, 45, 02, 12, 2015
3, FG34HIJ, 1111222233334444, 07, 30, 16, 30, 02, 12, 2015
4, KL56MNO, 5555666677778888, 09, 00, 11, 00, 02, 12, 2015
5, PQ78RST, 9999888877776666, 17, 00, 23, 00, 02, 12, 2015
6, UV90WXY, 1010101010101010, 10, 00, 22, 00, 02, 12, 2015
7, ZZ12ZZZ, 2222222222222222, 13, 45, 19, 45, 02, 12, 2015
8, AA34BBB, 3333333333333333, 18, 45, 19, 45, 02, 12, 2015
9, CC56DDD, 4444444444444444, 13, 30, 17, 30, 02, 12, 2015
10, EE78FFF, 5555555555555555, 08, 15, 20, 15, 02, 12, 2015
