10
1, N188GCK, 1111222233334444, 12, 00, 15, 00, 02, 12, 2015
2, AB12CDE, 8765432187654321, 12, 00, 14, 00, 02, 12, 2015
3, FG34HIJ, 1111222233334444, 07, 00, 12, 00, 02, 12, 2015
4, KL56MNO, 5555666677778888, 09, 00, 10, 00, 02, 12, 2015
5, PQ78RST, 9999888877776666, 05, 00, 07, 00, 02, 12, 2015
6, UV90WXY, 1010101010101010, 01, 00, 04, 00, 02, 12, 2015
7, ZZ12ZZZ, 2222222222222222, 13, 00, 16, 00, 01, 12, 2015
8, AA34BBB, 3333333333333333, 09, 00, 14, 00, 02, 12, 2015
9, CC56DDD, 4444444444444444, 06, 00, 10, 00, 02, 12, 2015
10, EE78FFF, 5555555555555555, 08, 00, 16, 00, 01, 12, 2015
